Time,tmpc_max,dwpc_max,mslp_max,wdir_max,wspd_max,skct_max,pr1h_max,tmpc_min,dwpc_min,mslp_min,wdir_min,wspd_min,skct_min,pr1h_min,tmpc_mean,dwpc_mean,mslp_mean,wdir_mean,wspd_mean,skct_mean,pr1h_mean,tmpc_total,dwpc_total,mslp_total,wdir_total,wspd_total,skct_total,pr1h_total
2010-01-11,-10.6,-15.0,1037.1,270.0,7.7,0.0,0.0,-24.4,-27.2,1029.1,180.0,1.5,0.0,0.0,-18.194736842105264,-21.226315789473684,1034.6473684210523,225.26315789473685,3.6315789473684217,0.0,0.0,-345.70000000000005,-403.3,19658.299999999996,4280.0,69.00000000000001,0.0,0.0
2010-01-12,-5.0,-8.9,1027.1,330.0,7.7,8.0,0.0,-8.9,-12.2,1020.6,210.0,3.6,0.0,0.0,-6.821052631578947,-10.821052631578945,1022.8526315789472,274.7368421052632,6.25263157894737,5.578947368421052,0.0,-129.6,-205.59999999999997,19434.199999999997,5220.0,118.80000000000003,106.0,0.0
2010-01-13,-3.3,-6.7,1033.0,330.0,6.7,8.0,0.0,-8.9,-11.7,1029.1,0.0,0.0,4.0,0.0,-5.384210526315791,-8.457894736842103,1031.5947368421055,278.94736842105266,3.4631578947368427,7.684210526315789,0.0,-102.30000000000004,-160.69999999999996,19600.300000000003,5300.0,65.80000000000001,146.0,0.0
2010-01-14,0.6,-3.9,1029.2,200.0,6.7,2.0,0.0,-11.7,-13.3,1021.5,180.0,3.6,0.0,0.0,-5.7631578947368425,-8.68421052631579,1025.478947368421,185.26315789473685,5.231578947368422,0.10526315789473684,0.0,-109.50000000000001,-165.0,19484.1,3520.0,99.40000000000002,2.0,0.0
2010-01-15,2.8,-0.6,1020.8,200.0,7.2,8.0,0.0,-3.9,-6.7,1018.8,190.0,2.6,0.0,0.0,0.031578947368421206,-3.3789473684210534,1020.0315789473683,193.68421052631578,4.889473684210525,3.9473684210526314,0.0,0.600000000000003,-64.20000000000002,19380.6,3680.0,92.89999999999998,75.0,0.0
2010-01-16,1.7,0.0,1027.4,360.0,3.6,8.0,0.0,-0.6,-1.7,1021.7,0.0,0.0,8.0,0.0,0.46842105263157885,-1.0157894736842104,1024.8555555555554,232.6315789473684,2.0684210526315794,8.0,0.0,8.899999999999999,-19.299999999999997,18447.399999999998,4420.0,39.30000000000001,152.0,0.0
2010-01-17,0.6,0.0,1025.7,290.0,3.6,9.0,0.0,-2.2,-2.8,1020.1,0.0,0.0,8.0,0.0,-0.8263157894736841,-1.589473684210527,1023.5684210526315,170.52631578947367,1.9947368421052634,8.842105263157896,0.0,-15.699999999999998,-30.200000000000014,19447.8,3240.0,37.900000000000006,168.0,0.0
2010-01-18,0.0,-0.6,1015.3,360.0,7.2,9.0,0.0,-2.8,-4.4,1010.4,10.0,1.5,4.0,0.0,-1.7105263157894737,-2.894736842105263,1012.3684210526313,265.7894736842105,4.078947368421052,8.105263157894736,0.0,-32.5,-54.99999999999999,19234.999999999996,5050.0,77.5,154.0,0.0
2010-01-19,0.6,0.0,1017.1,280.0,5.7,9.0,0.0,0.0,-1.1,1014.5,180.0,1.5,8.0,0.0,0.18947368421052632,-0.7736842105263155,1015.6789473684212,250.52631578947367,3.5421052631578953,8.263157894736842,0.0,3.6,-14.699999999999996,19297.9,4760.0,67.30000000000001,157.0,0.0
2010-01-20,0.0,-0.6,1017.1,360.0,5.1,9.0,0.0,-2.2,-3.9,1015.1,0.0,0.0,8.0,0.0,-1.126315789473684,-2.231578947368421,1015.8499999999998,85.78947368421052,2.357894736842106,8.157894736842104,0.0,-21.399999999999995,-42.4,18285.299999999996,1630.0,44.80000000000001,155.0,0.0
2010-01-21,0.0,-1.1,1015.3,90.0,9.8,8.0,0.5,-2.8,-5.0,1008.9,70.0,3.6,4.0,0.0,-1.2684210526315791,-3.315789473684211,1012.0526315789472,81.57894736842105,7.773684210526314,7.684210526315789,0.08421052631578947,-24.100000000000005,-63.00000000000001,19228.999999999996,1550.0,147.69999999999996,146.0,1.6
2010-01-22,1.1,0.0,1009.1,100.0,9.3,8.0,1.5,0.0,-1.1,1002.9,50.0,6.7,8.0,0.0,0.46315789473684205,-0.4999999999999999,1006.263157894737,72.63157894736842,8.031578947368422,8.0,0.30526315789473685,8.799999999999999,-9.499999999999998,19119.000000000004,1380.0,152.6,152.0,5.8
